,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
472,Audi,Q7,2006-2020 4.2 TDI Quattro Technology,2016,"87,000 kms",Diesel,First Owner,delhi,39 Lakh*
473,Hyundai,Creta,1.6 SX Automatic,2018,"19,000 kms",Petrol,First Owner,delhi,13.74 Lakh*
474,Maruti,Baleno,Delta Automatic,2015,"54,000 kms",Petrol,First Owner,delhi,5.1 Lakh*
475,Maruti,Alto,K10 VXI Optional,2016,"60,000 kms",Petrol,First Owner,delhi,2.75 Lakh*
476,Maruti,Wagon,R LXI Minor,2010,"52,000 kms",Petrol,First Owner,delhi,1.8 Lakh*
477,Hyundai,i20,Sportz 1.2,2017,"52,938 Kms",Petrol,1st Owner,delhi,"₹ 5,40,500"
478,Maruti,Ertiga,VXI ABS,2014,"55,000 kms",Petrol,First Owner,delhi,5.25 Lakh*
479,Audi,A8,L 3.0 TDI quattro,2012,"27,000 kms",Diesel,First Owner,delhi,25.21 Lakh*
480,Hyundai,i10,Magna 1.2 iTech SE,2012,"50,000 kms",Petrol,Second Owner,delhi,1.8 Lakh*
481,Honda,Civic,1.8 V AT,2006,"80,000 kms",Petrol,Third Owner,delhi,1.11 Lakh*
482,Maruti,Ciaz,VDi,2015,"87,150 kms",Diesel,Second Owner,delhi,5.25 Lakh*
483,Volkswagen,Vento,IPL II Petrol Highline,2011,"70,000 kms",Petrol,Second Owner,delhi,2.5 Lakh*
484,Mahindra,Scorpio,S6 Plus 7 Seater,2016,"80,000 kms",Diesel,First Owner,delhi,8.5 Lakh*
485,Hyundai,Grand,i10 Sportz,2018,"28,000 kms",Petrol,First Owner,delhi,5 Lakh*
486,Toyota,Yaris,VX CVT,2019,"40,000 kms",Petrol,First Owner,delhi,11 Lakh*
487,Maruti,Celerio,VXI,2014,"17,541 Kms",Petrol,1st Owner,delhi,"₹ 3,20,000"
488,Maruti,Swift,VDI,2013,"50,000 kms",Diesel,First Owner,delhi,3.5 Lakh*
489,Maruti,Swift,Dzire VDI,2015,"70,000 kms",Diesel,First Owner,delhi,4.2 Lakh*
490,Maruti,Alto,800 LXI CNG,2019,"30,000 kms",CNG,First Owner,delhi,3.5 Lakh*
491,Maruti,Alto,VXI,2018,"24,604 Kms",Petrol,1st Owner,delhi,"₹ 3,39,500"
492,Land,Rover,Range Rover Evoque 2.0 TD4 SE Dynamic,2017,"25,000 kms",Diesel,First Owner,delhi,41 Lakh*
493,Renault,Duster,110PS Diesel RxL,2015,"57,000 kms",Diesel,First Owner,delhi,5.2 Lakh*
494,Renault,Triber,RXZ,2020,"6,500 kms",Petrol,First Owner,delhi,7.2 Lakh*
495,Honda,Civic,1.8 V MT,2011,"1,10,000 kms",Petrol,First Owner,delhi,3.05 Lakh*
496,Renault,KWID,RXT,2016,"20,000 kms",Petrol,First Owner,delhi,3.2 Lakh*
497,BMW,3,Series 320i,2010,"70,000 kms",Petrol,Second Owner,delhi,7 Lakh*
498,Volkswagen,Vento,Petrol Comfortline,2013,"30,500 kms",Petrol,First Owner,delhi,3.5 Lakh*
499,Hyundai,Verna,1.6 SX VTVT (O) AT,2013,"61,000 kms",Petrol,First Owner,delhi,4.75 Lakh*
500,Honda,City,i DTEC SV,2014,"70,000 kms",Diesel,First Owner,delhi,4.3 Lakh*
501,Hyundai,i10,Magna,2011,"60,000 kms",Petrol,First Owner,delhi,2.5 Lakh*
502,Honda,City,i DTEC E,2014,"90,000 kms",Diesel,First Owner,delhi,4.42 Lakh*
503,Nissan,Terrano,XE 85 PS,2014,"1,20,000 kms",Diesel,First Owner,delhi,4.15 Lakh*
504,Honda,City,1.5 S MT,2009,"68,000 kms",Petrol,First Owner,delhi,2.65 Lakh*
505,Honda,Amaze,VX i-Vtech,2013,"39,000 kms",Petrol,First Owner,delhi,4.8 Lakh*
506,Honda,Civic,1.8 V MT,2011,"60,000 kms",Petrol,Second Owner,delhi,2.85 Lakh*
507,Mahindra,XUV500,W6 2WD,2014,"85,000 kms",Diesel,First Owner,delhi,5.25 Lakh*
508,Maruti,Wagon,R LXI Opt,2015,"66,000 kms",Petrol,First Owner,delhi,2.75 Lakh*
509,Nissan,Teana,XV,2012,"2,08,000 kms",Petrol,First Owner,delhi,4.25 Lakh*
510,Ford,Figo,Titanium BSIV,2019,"22,500 kms",Petrol,First Owner,delhi,4.5 Lakh*
511,Toyota,Innova,2.5 VX 8 STR BSIV,2012,"1,10,000 kms",Diesel,First Owner,delhi,5.55 Lakh*
