,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
952,Hyundai,i20,2015-2017 Asta Option 1.4 CRDi,2016,"70,000 kms",Diesel,First Owner,chennai,6 Lakh*
953,Hyundai,Xcent,1.1 CRDi SX,2018,"26,980 kms",Diesel,First Owner,chennai,5.3 Lakh*
954,Toyota,Innova,2.5 VX (Diesel) 8 Seater,2014,"129,900 kms",Diesel,First Owner,chennai,13 Lakh*
955,Renault,KWID,RXL,2017,"14,000 kms",Petrol,First Owner,chennai,3.45 Lakh*
956,Ford,Figo,1.5D Titanium MT,2017,"37,570 kms",Diesel,First Owner,chennai,5.5 Lakh*
957,Renault,Duster,RXZ Turbo CVT,2021,"1,000 kms",Petrol,Test Drive Car,chennai,12.77 Lakh*
958,Volkswagen,Polo,GT TSI,2017,"20,000 kms",Petrol,First Owner,chennai,8 Lakh*
959,Honda,WR-V,i-VTEC S,2018,"22,000 kms",Petrol,First Owner,chennai,8.1 Lakh*
960,Tata,Nano,XT,2015,"15,000 kms",Petrol,First Owner,chennai,1.7 Lakh*
961,Honda,City,i VTEC CVT VX,2016,"35,000 kms",Petrol,First Owner,chennai,8.75 Lakh*
962,Hyundai,i10,Sportz AT,2011,"41,000 kms",Petrol,First Owner,chennai,3.45 Lakh*
963,Hyundai,Santro,Xing GLS,2009,"40,000 kms",Petrol,First Owner,chennai,1.9 Lakh*
964,Maruti,Alto,800 LXI,2017,"60,000 kms",Petrol,First Owner,chennai,2.65 Lakh*
965,Hyundai,i10,Magna 1.2,2012,"27,965 kms",Petrol,Second Owner,chennai,2.75 Lakh*
966,Honda,Mobilio,S i VTEC,2015,"24,500 kms",Petrol,First Owner,chennai,6.75 Lakh*
967,Hyundai,Grand,i10 Asta,2016,"43,000 kms",Petrol,Second Owner,chennai,4.65 Lakh*
968,Toyota,Corolla,Altis D-4D G,2014,"1,39,900 kms",Diesel,First Owner,chennai,8.49 Lakh*
969,Hyundai,i10,Magna 1.2 iTech SE,2011,"79,000 kms",Petrol,Second Owner,chennai,2.9 Lakh*
970,Hyundai,Xcent,1.2 VTVT S,2014,"50,428 kms",Petrol,First Owner,chennai,4.1 Lakh*
971,Maruti,Baleno,Zeta Automatic,2017,"60,000 kms",Petrol,Second Owner,chennai,5.5 Lakh*
972,Toyota,Fortuner,4x2 AT,2014,"84,900 kms",Diesel,First Owner,chennai,17.96 Lakh*
973,Hyundai,Santro,Xing XO,2006,"58,318 kms",Petrol,First Owner,chennai,1.6 Lakh*
974,Honda,City,1.5 S MT,2018,"53,093 kms",Petrol,First Owner,chennai,7.5 Lakh*
975,Toyota,Camry,2.5 Hybrid,2015,"80,000 kms",Petrol,Second Owner,chennai,14.5 Lakh*
